,bug_id,feature_combine,feature_name,score
0,2529,OB,OB,0.7107158899307251
1,2529,EB,EB,0.7257120013237
2,2529,SR,SR,0.7050901055335999
3,2529,OB_EB,OB,0.6626600027084351
4,2529,OB_EB,EB,0.7216081619262695
5,2529,OB_SR,OB,0.7040678262710571
6,2529,OB_SR,SR,0.7241150140762329
7,2529,EB_SR,EB,0.6719716787338257
8,2529,EB_SR,SR,0.6702098846435547
9,7752,OB,OB,0.927429735660553
10,7752,EB,EB,0.0
11,7752,SR,SR,0.8555956482887268
12,7752,OB_EB,OB,0.8315710425376892
13,7752,OB_EB,EB,0.8553026914596558
14,7752,OB_SR,OB,0.13010932505130768
15,7752,OB_SR,SR,0.4390675127506256
16,7752,EB_SR,EB,0.7644512057304382
17,7752,EB_SR,SR,0.8565913438796997
18,7581,OB,OB,0.7010166645050049
19,7581,EB,EB,0.8782726526260376
20,7581,SR,SR,0.8955995440483093
21,7581,OB_EB,OB,0.7610359787940979
22,7581,OB_EB,EB,0.8441725373268127
23,7581,OB_SR,OB,0.8028223514556885
24,7581,OB_SR,SR,0.9352944493293762
25,7581,EB_SR,EB,0.7838718295097351
26,7581,EB_SR,SR,0.8812513947486877
27,12906,OB,OB,0.8063186407089233
28,12906,EB,EB,0.5595659017562866
29,12906,SR,SR,0.9141957759857178
30,12906,OB_EB,OB,0.8229888081550598
31,12906,OB_EB,EB,0.62651526927948
32,12906,OB_SR,OB,0.8354812860488892
33,12906,OB_SR,SR,0.8449487090110779
34,12906,EB_SR,EB,0.6754841804504395
35,12906,EB_SR,SR,0.8982264399528503
36,2120,OB,OB,0.8746103048324585
37,2120,EB,EB,0.8294408321380615
38,2120,SR,SR,0.6878381371498108
39,2120,OB_EB,OB,0.7392874360084534
40,2120,OB_EB,EB,0.8148889541625977
41,2120,OB_SR,OB,0.8381000757217407
42,2120,OB_SR,SR,0.6667360663414001
43,2120,EB_SR,EB,0.7530931830406189
44,2120,EB_SR,SR,0.5766751766204834
45,3970,OB,OB,0.8703733086585999
46,3970,EB,EB,0.9193210005760193
47,3970,SR,SR,0.663902223110199
48,3970,OB_EB,OB,0.8231381177902222
49,3970,OB_EB,EB,0.8797609210014343
50,3970,OB_SR,OB,0.8813362121582031
51,3970,OB_SR,SR,0.7352991700172424
52,3970,EB_SR,EB,0.9192468523979187
53,3970,EB_SR,SR,0.7224000692367554
54,2940,OB,OB,0.7967485785484314
55,2940,EB,EB,0.9013601541519165
56,2940,SR,SR,0.6176062226295471
57,2940,OB_EB,OB,0.8109263777732849
58,2940,OB_EB,EB,0.8550212383270264
59,2940,OB_SR,OB,0.8762491941452026
60,2940,OB_SR,SR,0.6632631421089172
61,2940,EB_SR,EB,0.8682515025138855
62,2940,EB_SR,SR,0.6127465963363647
63,2694,OB,OB,0.6869940161705017
64,2694,EB,EB,0.7957302927970886
65,2694,SR,SR,0.8592914938926697
66,2694,OB_EB,OB,0.0
67,2694,OB_EB,EB,0.0
68,2694,OB_SR,OB,0.5204660892486572
69,2694,OB_SR,SR,0.8160168528556824
70,2694,EB_SR,EB,0.7680565714836121
71,2694,EB_SR,SR,0.827851414680481
72,6304,OB,OB,0.5998554229736328
73,6304,EB,EB,0.6483035683631897
74,6304,SR,SR,0.7796924710273743
75,6304,OB_EB,OB,0.608734667301178
76,6304,OB_EB,EB,0.6698564887046814
77,6304,OB_SR,OB,0.38155966997146606
78,6304,OB_SR,SR,0.7889537811279297
79,6304,EB_SR,EB,0.6777572631835938
