,bug_id,feature_combine,feature_name,score
0,17289,OB,OB,0.8893845081329346
1,17289,EB,EB,0.7495244145393372
2,17289,SR,SR,0.6686522364616394
3,17289,OB_EB,OB,0.8471092581748962
4,17289,OB_EB,EB,0.7771069407463074
5,17289,OB_SR,OB,0.9139620661735535
6,17289,OB_SR,SR,0.6811360120773315
7,17289,EB_SR,EB,0.7496253848075867
8,17289,EB_SR,SR,0.6686522364616394
9,18705,OB,OB,0.9452782869338989
10,18705,EB,EB,0.7328317165374756
11,18705,SR,SR,0.883728563785553
12,18705,OB_EB,OB,0.9452783465385437
13,18705,OB_EB,EB,0.7173888683319092
14,18705,OB_SR,OB,0.596828043460846
15,18705,OB_SR,SR,0.7721130847930908
16,18705,EB_SR,EB,0.773528516292572
17,18705,EB_SR,SR,0.8944562673568726
18,17825,OB,OB,0.7054813504219055
19,17825,EB,EB,0.7890856266021729
20,17825,SR,SR,0.7630529999732971
21,17825,OB_EB,OB,0.7221813201904297
22,17825,OB_EB,EB,0.7353554368019104
23,17825,OB_SR,OB,0.7966514825820923
24,17825,OB_SR,SR,0.7437070608139038
25,17825,EB_SR,EB,0.707319438457489
26,17825,EB_SR,SR,0.766228973865509
27,19089,OB,OB,0.7897001504898071
28,19089,EB,EB,0.7948221564292908
29,19089,SR,SR,0.8611327409744263
30,19089,OB_EB,OB,0.7644926309585571
31,19089,OB_EB,EB,0.7940211892127991
32,19089,OB_SR,OB,0.84573894739151
33,19089,OB_SR,SR,0.7183770537376404
34,19089,EB_SR,EB,0.7972809672355652
35,19089,EB_SR,SR,0.7396056652069092
36,21834,OB,OB,0.9579735994338989
37,21834,EB,EB,0.944992184638977
38,21834,SR,SR,0.9219534397125244
39,21834,OB_EB,OB,0.9093098640441895
40,21834,OB_EB,EB,0.9123051166534424
41,21834,OB_SR,OB,0.9417792558670044
42,21834,OB_SR,SR,0.9397623538970947
43,21834,EB_SR,EB,0.945456862449646
44,21834,EB_SR,SR,0.9314795136451721
45,23935,OB,OB,0.9171608090400696
46,23935,EB,EB,0.826023519039154
47,23935,SR,SR,0.821210503578186
48,23935,OB_EB,OB,0.9324301481246948
49,23935,OB_EB,EB,0.7690660357475281
50,23935,OB_SR,OB,0.9134723544120789
51,23935,OB_SR,SR,0.7891736030578613
52,23935,EB_SR,EB,0.7999827265739441
53,23935,EB_SR,SR,0.8315664529800415
54,12398,OB,OB,0.9155925512313843
55,12398,EB,EB,0.8046967387199402
56,12398,SR,SR,0.7026633024215698
57,12398,OB_EB,OB,0.9170966744422913
58,12398,OB_EB,EB,0.7868325710296631
59,12398,OB_SR,OB,0.8291252851486206
60,12398,OB_SR,SR,0.8647093772888184
61,12398,EB_SR,EB,0.8240395784378052
62,12398,EB_SR,SR,0.7795855402946472
63,18934,OB,OB,0.9397675395011902
64,18934,EB,EB,0.8134961128234863
65,18934,SR,SR,0.8895670771598816
66,18934,OB_EB,OB,0.9329454898834229
67,18934,OB_EB,EB,0.779039204120636
68,18934,OB_SR,OB,0.8064820170402527
69,18934,OB_SR,SR,0.7824937701225281
70,18934,EB_SR,EB,0.7629396319389343
71,18934,EB_SR,SR,0.9094842672348022
72,17993,OB,OB,0.8909441828727722
73,17993,EB,EB,0.8858844041824341
74,17993,SR,SR,0.8554204702377319
75,17993,OB_EB,OB,0.8961716890335083
76,17993,OB_EB,EB,0.8577010631561279
77,17993,OB_SR,OB,0.8928861021995544
78,17993,OB_SR,SR,0.8621878623962402
79,17993,EB_SR,EB,0.8731825947761536
80,17993,EB_SR,SR,0.8268147110939026
81,14047,OB,OB,0.7723811268806458
82,14047,EB,EB,0.9238609671592712
83,14047,SR,SR,0.7101680040359497
84,14047,OB_EB,OB,0.7279561161994934
85,14047,OB_EB,EB,0.7831552028656006
86,14047,OB_SR,OB,0.8011841177940369
87,14047,OB_SR,SR,0.6846995949745178
88,14047,EB_SR,EB,0.7892158031463623
89,14047,EB_SR,SR,0.6771647930145264
90,21706,OB,OB,0.6629284620285034
91,21706,EB,EB,0.8202004432678223
92,21706,SR,SR,0.7905014157295227
93,21706,OB_EB,OB,0.7220587730407715
94,21706,OB_EB,EB,0.8154110908508301
95,21706,OB_SR,OB,0.7086315155029297
96,21706,OB_SR,SR,0.7801322937011719
97,21706,EB_SR,EB,0.8076827526092529
98,21706,EB_SR,SR,0.8235810399055481
99,13725,OB,OB,0.9226288795471191
100,13725,EB,EB,0.8258891701698303
101,13725,SR,SR,0.9503388404846191
102,13725,OB_EB,OB,0.9575276374816895
103,13725,OB_EB,EB,0.8022424578666687
104,13725,OB_SR,OB,0.8539764285087585
105,13725,OB_SR,SR,0.9279248118400574
106,13725,EB_SR,EB,0.8024882674217224
107,13725,EB_SR,SR,0.9543892741203308
108,23787,OB,OB,0.7635415196418762
109,23787,EB,EB,0.8607390522956848
110,23787,SR,SR,0.8408450484275818
111,23787,OB_EB,OB,0.7738615274429321
112,23787,OB_EB,EB,0.7824462652206421
113,23787,OB_SR,OB,0.5066787004470825
114,23787,OB_SR,SR,0.8315991163253784
115,23787,EB_SR,EB,0.8076038956642151
116,23787,EB_SR,SR,0.8652279376983643
