,bug_id,feature_combine,feature_name,score
0,120216,OB,OB,0.7834341526031494
1,120216,EB,EB,0.9257189631462097
2,120216,SR,SR,0.8662850260734558
3,120216,OB_EB,OB,0.7622274160385132
4,120216,OB_EB,EB,0.928806483745575
5,120216,OB_SR,OB,0.7891882061958313
6,120216,OB_SR,SR,0.8200276494026184
7,120216,EB_SR,EB,0.9097774624824524
8,120216,EB_SR,SR,0.7202140688896179
9,113047,OB,OB,0.8914179801940918
10,113047,EB,EB,0.7831765413284302
11,113047,SR,SR,0.879338264465332
12,113047,OB_EB,OB,0.9516410231590271
13,113047,OB_EB,EB,0.8179171085357666
14,113047,OB_SR,OB,0.9231728911399841
15,113047,OB_SR,SR,0.882195234298706
16,113047,EB_SR,EB,0.7880433797836304
17,113047,EB_SR,SR,0.9249400496482849
18,115960,OB,OB,0.8610034584999084
19,115960,EB,EB,0.8446475267410278
20,115960,SR,SR,0.4408344328403473
21,115960,OB_EB,OB,0.89399254322052
22,115960,OB_EB,EB,0.8380801677703857
23,115960,OB_SR,OB,0.8080183863639832
24,115960,OB_SR,SR,0.5260829925537109
25,115960,EB_SR,EB,0.8467193841934204
26,115960,EB_SR,SR,0.5197135806083679
27,117981,OB,OB,0.8516607880592346
28,117981,EB,EB,0.8591158390045166
29,117981,SR,SR,0.7302616834640503
30,117981,OB_EB,OB,0.8331567049026489
31,117981,OB_EB,EB,0.8066233396530151
32,117981,OB_SR,OB,0.8627856969833374
33,117981,OB_SR,SR,0.7078377604484558
34,117981,EB_SR,EB,0.8120213747024536
35,117981,EB_SR,SR,0.6308420896530151
36,102436,OB,OB,0.8143898248672485
37,102436,EB,EB,0.7316635251045227
38,102436,SR,SR,0.8387622237205505
39,102436,OB_EB,OB,0.8627144694328308
40,102436,OB_EB,EB,0.6547166705131531
41,102436,OB_SR,OB,0.8427647352218628
42,102436,OB_SR,SR,0.8205376863479614
43,102436,EB_SR,EB,0.6924622058868408
44,102436,EB_SR,SR,0.8507893681526184
45,102623,OB,OB,0.7806702852249146
46,102623,EB,EB,0.735812246799469
47,102623,SR,SR,0.7533823251724243
48,102623,OB_EB,OB,0.759713888168335
49,102623,OB_EB,EB,0.7552741765975952
50,102623,OB_SR,OB,0.7971757650375366
51,102623,OB_SR,SR,0.7437577247619629
52,102623,EB_SR,EB,0.7226197719573975
53,102623,EB_SR,SR,0.7064902782440186
54,101187,OB,OB,0.8312263488769531
55,101187,EB,EB,0.7969790697097778
56,101187,SR,SR,0.6797745823860168
57,101187,OB_EB,OB,0.768837034702301
58,101187,OB_EB,EB,0.8093498945236206
59,101187,OB_SR,OB,0.789329469203949
60,101187,OB_SR,SR,0.6227937340736389
61,101187,EB_SR,EB,0.8514518737792969
62,101187,EB_SR,SR,0.6037396788597107
63,116786,OB,OB,0.741845965385437
64,116786,EB,EB,0.8603166341781616
65,116786,SR,SR,0.8558154106140137
