,bug_id,feature_combine,feature_name,score
0,49299,OB,OB,0.914997935295105
1,49299,EB,EB,0.8089321851730347
2,49299,SR,SR,0.0
3,49299,OB_EB,OB,0.9221024513244629
4,49299,OB_EB,EB,0.7751793265342712
5,49299,OB_SR,OB,0.6462389826774597
6,49299,OB_SR,SR,0.8187090158462524
7,49299,EB_SR,EB,0.7566573619842529
8,49299,EB_SR,SR,0.8085671663284302
9,49195,OB,OB,0.9069653749465942
10,49195,EB,EB,0.8180649280548096
11,49195,SR,SR,0.0
12,49195,OB_EB,OB,0.8718215227127075
13,49195,OB_EB,EB,0.7435910701751709
14,49195,OB_SR,OB,0.8815001249313354
15,49195,OB_SR,SR,0.8011864423751831
16,49195,EB_SR,EB,0.0
17,49195,EB_SR,SR,0.8366121649742126
18,49503,OB,OB,0.6899463534355164
19,49503,EB,EB,0.8090379238128662
20,49503,SR,SR,0.789132833480835
21,49503,OB_EB,OB,0.6899463534355164
22,49503,OB_EB,EB,0.7813515663146973
23,49503,OB_SR,OB,0.8477627635002136
24,49503,OB_SR,SR,0.800428569316864
25,49503,EB_SR,EB,0.8168458342552185
26,49503,EB_SR,SR,0.8339955806732178
27,49536,OB,OB,0.9203547835350037
28,49536,EB,EB,0.948347806930542
29,49536,SR,SR,0.8058721423149109
30,49536,OB_EB,OB,0.9530890583992004
31,49536,OB_EB,EB,0.9162120223045349
32,49536,OB_SR,OB,0.9328556656837463
33,49536,OB_SR,SR,0.7816896438598633
34,49536,EB_SR,EB,0.864289402961731
35,49536,EB_SR,SR,0.8620767593383789
36,49235,OB,OB,0.7125029563903809
37,49235,EB,EB,0.5467072129249573
38,49235,SR,SR,0.687169075012207
39,49235,OB_EB,OB,0.5623772144317627
40,49235,OB_EB,EB,0.6611557602882385
41,49235,OB_SR,OB,0.5640163421630859
42,49235,OB_SR,SR,0.6847222447395325
43,49235,EB_SR,EB,0.6917054057121277
44,49235,EB_SR,SR,0.647663414478302
