,bug_id,feature_com,feature,score
0,12906,OB,OB,0.9041160941123962
1,12906,EB,EB,0.6190323233604431
2,12906,SR,SR,0.8786667585372925
3,12906,OB EB,OB,0.9125211834907532
4,12906,OB EB,EB,0.6344956159591675
5,12906,OB SR,OB,0.8677523732185364
6,12906,OB SR,SR,0.8007317185401917
7,12906,EB SR,EB,0.6506184935569763
8,12906,EB SR,SR,0.84919673204422
9,14197,OB,OB,0.7757791876792908
10,14197,EB,EB,0.9453502893447876
11,14197,SR,SR,0.8672210574150085
12,14197,OB EB,OB,0.7857565879821777
13,14197,OB EB,EB,0.8935150504112244
14,14197,OB SR,OB,0.7946577072143555
15,14197,OB SR,SR,0.8309046030044556
16,14197,EB SR,EB,0.8752245306968689
17,14197,EB SR,SR,0.8929595351219177
18,15899,OB,OB,0.9166468381881714
19,15899,EB,EB,0.7689291834831238
20,15899,SR,SR,0.8376935124397278
21,15899,OB EB,OB,0.7853655219078064
22,15899,OB EB,EB,0.7502157092094421
23,15899,OB SR,OB,0.8615016341209412
24,15899,OB SR,SR,0.7588168978691101
25,15899,EB SR,EB,0.7509906888008118
26,15899,EB SR,SR,0.8343020677566528
27,17758,OB,OB,0.837485134601593
28,17758,EB,EB,0.8409152030944824
29,17758,SR,SR,0.8413097858428955
30,17758,OB EB,OB,0.8242414593696594
31,17758,OB EB,EB,0.8566249012947083
32,17758,OB SR,OB,0.682585597038269
33,17758,OB SR,SR,0.784330427646637
34,17758,EB SR,EB,0.8443030118942261
35,17758,EB SR,SR,0.7477847337722778
36,17894,OB,OB,0.5810022950172424
37,17894,EB,EB,0.805899977684021
38,17894,SR,SR,0.8117533326148987
39,17894,OB EB,OB,0.6179316639900208
40,17894,OB EB,EB,0.827498197555542
41,17894,OB SR,OB,0.5654650926589966
42,17894,OB SR,SR,0.8006083965301514
43,17894,EB SR,EB,0.7034440636634827
44,17894,EB SR,SR,0.7281742691993713
45,18016,OB,OB,0.8434999585151672
46,18016,EB,EB,0.7708128690719604
47,18016,SR,SR,0.6211100220680237
48,18016,OB EB,OB,0.7854049205780029
49,18016,OB EB,EB,0.7077312469482422
50,18016,OB SR,OB,0.7171579003334045
51,18016,OB SR,SR,0.599365234375
52,18016,EB SR,EB,0.7420888543128967
53,18016,EB SR,SR,0.5882107615470886
54,18268,OB,OB,0.8028002977371216
55,18268,EB,EB,0.7645037174224854
56,18268,SR,SR,0.7238448858261108
57,18268,OB EB,OB,0.8244965672492981
58,18268,OB EB,EB,0.8203161358833313
59,18268,OB SR,OB,0.8560711145401001
60,18268,OB SR,SR,0.6595339775085449
61,18268,EB SR,EB,0.8459165692329407
62,18268,EB SR,SR,0.7221152186393738
63,18335,OB,OB,0.9151169061660767
64,18335,EB,EB,0.7742584347724915
65,18335,SR,SR,0.8009203672409058
66,18335,OB EB,OB,0.867365300655365
67,18335,OB EB,EB,0.8356449604034424
68,18335,OB SR,OB,0.8465172052383423
69,18335,OB SR,SR,0.8096460700035095
70,18335,EB SR,EB,0.7799034714698792
71,18335,EB SR,SR,0.7860944867134094
72,18915,OB,OB,0.9151344895362854
73,18915,EB,EB,0.725385308265686
74,18915,SR,SR,0.879871129989624
75,18915,OB EB,OB,0.9130443930625916
76,18915,OB EB,EB,0.7203521132469177
77,18915,OB SR,OB,0.7303357124328613
78,18915,OB SR,SR,0.8152197003364563
79,18915,EB SR,EB,0.7357690334320068
80,18915,EB SR,SR,0.8900678753852844
81,19458,OB,OB,0.7753162980079651
82,19458,EB,EB,0.8527968525886536
83,19458,SR,SR,0.8090064525604248
84,19458,OB EB,OB,0.8717255592346191
85,19458,OB EB,EB,0.9054598808288574
86,19458,OB SR,OB,0.7753162980079651
87,19458,OB SR,SR,0.7706100940704346
88,19458,EB SR,EB,0.8517705202102661
89,19458,EB SR,SR,0.7964335680007935
90,19651,OB,OB,0.8668834567070007
91,19651,EB,EB,0.8662367463111877
92,19651,SR,SR,0.8761670589447021
93,19651,OB EB,OB,0.9017297625541687
94,19651,OB EB,EB,0.9094428420066833
95,19651,OB SR,OB,0.852973222732544
96,19651,OB SR,SR,0.9592849016189575
97,19651,EB SR,EB,0.9005649089813232
98,19651,EB SR,SR,0.7796728014945984
99,19933,OB,OB,0.9195630550384521
100,19933,EB,EB,0.7850297689437866
101,19933,SR,SR,0.9296650290489197
102,19933,OB EB,OB,0.9167487025260925
103,19933,OB EB,EB,0.8454321026802063
104,19933,OB SR,OB,0.8063368797302246
105,19933,OB SR,SR,0.9061795473098755
106,19933,EB SR,EB,0.8223405480384827
107,19933,EB SR,SR,0.9271941184997559
108,20249,OB,OB,0.9421840310096741
109,20249,EB,EB,0.8477128148078918
110,20249,SR,SR,0.7359226942062378
111,20249,OB EB,OB,0.9076221585273743
112,20249,OB EB,EB,0.787458598613739
113,20249,OB SR,OB,0.8748942017555237
114,20249,OB SR,SR,0.8798482418060303
115,20249,EB SR,EB,0.8255780339241028
116,20249,EB SR,SR,0.7359226942062378
117,2120,OB,OB,0.763891875743866
118,2120,EB,EB,0.8822051286697388
119,2120,SR,SR,0.6550800800323486
120,2120,OB EB,OB,0.8278058171272278
121,2120,OB EB,EB,0.8531044125556946
122,2120,OB SR,OB,0.8420302867889404
123,2120,OB SR,SR,0.6435097455978394
124,2120,EB SR,EB,0.8314753770828247
125,2120,EB SR,SR,0.6435459852218628
126,22360,OB,OB,0.7992591857910156
127,22360,EB,EB,0.8265464901924133
128,22360,SR,SR,0.7849459052085876
129,22360,OB EB,OB,0.8603537082672119
130,22360,OB EB,EB,0.7640310525894165
131,22360,OB SR,OB,0.7145075798034668
132,22360,OB SR,SR,0.7096125483512878
133,22360,EB SR,EB,0.8313467502593994
134,22360,EB SR,SR,0.73942631483078
135,23267,OB,OB,0.793796181678772
136,23267,EB,EB,0.7066558599472046
137,23267,SR,SR,0.835577666759491
138,23267,OB EB,OB,0.9127894043922424
139,23267,OB EB,EB,0.8046214580535889
140,23267,OB SR,OB,0.8597891926765442
141,23267,OB SR,SR,0.7508640885353088
142,23267,EB SR,EB,0.7603947520256042
143,23267,EB SR,SR,0.8565259575843811
144,2345,OB,OB,0.8867712020874023
145,2345,EB,EB,0.9148601293563843
146,2345,SR,SR,0.9161890745162964
147,2345,OB EB,OB,0.9171143770217896
148,2345,OB EB,EB,0.9517002105712891
149,2345,OB SR,OB,0.9241665005683899
150,2345,OB SR,SR,0.9067956805229187
151,2345,EB SR,EB,0.8950045704841614
152,2345,EB SR,SR,0.8857219219207764
153,24411,OB,OB,0.973482072353363
154,24411,EB,EB,0.9353847503662109
155,24411,SR,SR,0.9343058466911316
156,24411,OB EB,OB,0.9467201232910156
157,24411,OB EB,EB,0.9461089372634888
158,24411,OB SR,OB,0.9556804299354553
159,24411,OB SR,SR,0.9209364652633667
160,24411,EB SR,EB,0.9443444609642029
161,24411,EB SR,SR,0.9344360828399658
162,24779,OB,OB,0.8829964399337769
163,24779,EB,EB,0.8598713874816895
164,24779,SR,SR,0.8674757480621338
165,24779,OB EB,OB,0.9100548028945923
166,24779,OB EB,EB,0.8078107833862305
167,24779,OB SR,OB,0.842870831489563
168,24779,OB SR,SR,0.8527625203132629
169,24779,EB SR,EB,0.8827477693557739
170,24779,EB SR,SR,0.8676656484603882
171,2529,OB,OB,0.5749644637107849
172,2529,EB,EB,0.673459529876709
173,2529,SR,SR,0.7377833724021912
174,2529,OB EB,OB,0.667847216129303
175,2529,OB EB,EB,0.8035063743591309
176,2529,OB SR,OB,0.6312506198883057
177,2529,OB SR,SR,0.5812082886695862
178,2529,EB SR,EB,0.67615807056427
179,2529,EB SR,SR,0.688029944896698
180,2694,OB,OB,0.6532959342002869
181,2694,EB,EB,0.8430878520011902
182,2694,SR,SR,0.8673325777053833
183,2694,OB EB,OB,0.6592341661453247
184,2694,OB EB,EB,0.8621019721031189
185,2694,OB SR,OB,0.6732211112976074
186,2694,OB SR,SR,0.8538254499435425
187,2694,EB SR,EB,0.7707507610321045
188,2694,EB SR,SR,0.8633272647857666
189,2940,OB,OB,0.9133713245391846
190,2940,EB,EB,0.8380382061004639
191,2940,SR,SR,0.6809182167053223
192,2940,OB EB,OB,0.7682778835296631
193,2940,OB EB,EB,0.8424072265625
194,2940,OB SR,OB,0.7716810703277588
195,2940,OB SR,SR,0.6505233645439148
196,2940,EB SR,EB,0.8807605504989624
197,2940,EB SR,SR,0.6720434427261353
198,3970,OB,OB,0.7936111092567444
199,3970,EB,EB,0.8859609961509705
200,3970,SR,SR,0.725721001625061
201,3970,OB EB,OB,0.8368303775787354
202,3970,OB EB,EB,0.9082110524177551
203,3970,OB SR,OB,0.8263670206069946
204,3970,OB SR,SR,0.7224000692367554
205,3970,EB SR,EB,0.8934217095375061
206,3970,EB SR,SR,0.699135422706604
207,6304,OB,OB,0.6112298369407654
208,6304,EB,EB,0.7114923000335693
209,6304,SR,SR,0.7884618043899536
210,6304,OB EB,OB,0.4554516077041626
211,6304,OB EB,EB,0.7378385066986084
212,6304,OB SR,OB,0.6057827472686768
213,6304,OB SR,SR,0.8055809736251831
214,6304,EB SR,EB,0.717058539390564
215,6304,EB SR,SR,0.8024117946624756
216,6656,OB,OB,0.9121648669242859
217,6656,EB,EB,0.8871977925300598
218,6656,SR,SR,0.8257604837417603
219,6656,OB EB,OB,0.8972756862640381
220,6656,OB EB,EB,0.8974464535713196
221,6656,OB SR,OB,0.8595224618911743
222,6656,OB SR,SR,0.8070412874221802
223,6656,EB SR,EB,0.9011444449424744
224,6656,EB SR,SR,0.8545366525650024
225,7581,OB,OB,0.7401193976402283
226,7581,EB,EB,0.8650448322296143
227,7581,SR,SR,0.9052549004554749
228,7581,OB EB,OB,0.7309257984161377
229,7581,OB EB,EB,0.9011555314064026
230,7581,OB SR,OB,0.8392097353935242
231,7581,OB SR,SR,0.9078357815742493
232,7581,EB SR,EB,0.779327392578125
233,7581,EB SR,SR,0.9101653695106506
234,7734,OB,OB,0.9132677316665649
235,7734,EB,EB,0.8655362129211426
236,7734,SR,SR,0.9094989895820618
237,7734,OB EB,OB,0.9132677316665649
238,7734,OB EB,EB,0.8555638790130615
239,7734,OB SR,OB,0.8358577489852905
240,7734,OB SR,SR,0.8964393138885498
241,7734,EB SR,EB,0.8245293498039246
242,7734,EB SR,SR,0.9453299045562744
243,7752,OB,OB,0.9033873677253723
244,7752,EB,EB,0.8604307174682617
245,7752,SR,SR,0.8561526536941528
246,7752,OB EB,OB,0.81903475522995
247,7752,OB EB,EB,0.8527609705924988
248,7752,OB SR,OB,0.8992936015129089
249,7752,OB SR,SR,0.8311667442321777
250,7752,EB SR,EB,0.8373331427574158
251,7752,EB SR,SR,0.8690176606178284
252,7785,OB,OB,0.8328843712806702
253,7785,EB,EB,0.9138534069061279
254,7785,SR,SR,0.9461110830307007
255,7785,OB EB,OB,0.8695757985115051
256,7785,OB EB,EB,0.9045127034187317
