,bug_id,title,desc
0,101187,54,493
1,102436,63,1161
2,102516,71,875
3,102623,57,542
4,103963,94,354
5,104630,65,566
6,108822,104,602
7,109350,61,710
8,109718,80,1285
9,110566,85,678
10,113047,114,1062
11,113320,83,3233
12,114470,95,700
13,114903,72,559
14,114905,100,667
15,115960,108,462
16,116564,101,609
17,116609,48,322
18,116744,49,695
19,116786,53,654
20,116829,67,340
21,117981,79,379
22,118780,127,954
23,120216,64,339
24,120315,105,405
25,120922,76,1401
26,121170,93,460
27,121323,70,1043
28,121682,80,484
29,121687,78,483
30,121974,92,1492
31,122105,97,493
32,122423,42,1020
33,122584,80,604
34,123036,43,176
35,123044,90,413
36,123523,82,607
37,123727,48,540
38,124066,70,488
39,124067,74,576
40,124570,74,674
41,124599,72,565
42,124610,69,752
43,124620,92,781
44,124761,128,853
45,124777,77,624
46,125678,103,1021
47,128359,86,843
48,129561,63,949
49,129569,66,1455
50,130068,98,440
51,131008,58,5022
52,131649,78,1301
53,132103,71,480
54,132786,98,746
55,134040,72,570
56,134488,90,514
57,134949,38,697
58,137464,115,1081
59,138175,94,612
